Feature \ Sample	SRS011061	SRS011134	SRS011239	SRS011271	SRS011302	SRS011405	SRS011452	SRS011529	SRS011586	SRS012273
#N/A	0.00121363	0.0392467	0.014629	0.0041932	0.014844	0.00164945	0	0.00757227	0.0259721	0.0259544
1	0.465641	0.780369	0.401888	1.91538	1.09003	0.268188	0.257423	1.19916	0.352982	1.03712
2	0.138902	0.0384611	0.230884	0.034374	0.0190981	0.147294	0.296634	0.0891959	0.109045	0.048133
3	0.003317	0.00466771	0.00228785	0.00781655	0.00397375	0.00302409	0	0.00101207	0.00548894	0.0336156
4	0	0.00066066	0	0	0	0.000472961	0.00193564	0	0.00018578	0.00218776
5	0.000276416	0.0217591	0.000310236	0.00174437	0.000328013	0.000709441	0	0.000921779	0.00566119	0.00420135
6	0	0	0	0	0	0	0	0	0	0.002296
7	0	0	0.0032885	0	0	0.000492667	0	0	0	0.00850507
8	0.213946	0.102884	0.313648	0.0769743	0.080062	0.430591	0.526253	0.125362	0.188489	0.172895
9	0	0.0263747	0.000297826	0.00148599	0.00657244	0.00164018	0	0.000384742	0.00507343	0.00509616
10	0	0	0.000531833	0	0	0	0	0	0	0.00109678
11	0	0	0	0	0	0	0	0	0	0
12	0	0	0.00536477	0.00651251	1.99494e-05	0	0	0	0	0.00660684
13	0	0	0	0	0	0	0	0	0	0
14	0	0.00106356	0	0.000528098	0.000686454	0	0	0	0.000522505	0.00148003
15	0	0	0	0	0	0	0	0	0	0.000778211
16	0	0	0	0	0	0	0	0	0	0
17	0	0.000312013	0	0	0	0	0	0	0	0
18	0.0283453	0.0135135	0.0429557	0.00924616	0.000365135	0	0	0.00176981	0.0118899	0.0091897
19	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	7.96198e-05	0
21	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0
23	0	0	0.00188623	0	0	0	0	0	0	0.00118056
24	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0	0
29	0	0.000359055	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0	0	0
32	0	0.000382488	0.000155118	0.000339796	0	0.000515061	0	0.000361337	0.0015172	0.000240522
33	0	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0
36	0	0	0.0016121	0	0.00140886	0	0.00806518	0.000192371	0.00783133	0.0226106
37	0	0	0	0	0	0	0	0	0	0
38	0	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0	0
41	0	0	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0	0.000830895
43	0	0	0	0	0	0	0	0	0	0
44	0	0	0	0	0	0	0	0	0	0
45	0	0	0.000122731	0.00149889	0	0	0	0	0.000153115	0.00262927
46	0	0	0	0	0	0	0	0	0	0
47	0	0	0	0	0	0	0	0	0	0
48	0	0	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0	0	0	0
51	0	0	0	0	0	0	0	0	0	0
52	0	0	0	0	0	0	0	0	0	0
53	0	0	0	0	0	0	0	0	0	0
54	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0
57	0	0	0	0	0	0	0	0	0	0
58	0	0	0	0	0.000380509	0	0	0.000139722	0.00840106	0.00391708
59	0	0	0	0	0	0	0	0	0	0
60	0	0	0	0	0	0	0	0	0	0
61	0	0	0	0	0	0	0	0	0	0.00398137
62	2.81898e-05	8.77293e-05	3.16388e-05	0.000282885	0.000665622	7.53655e-05	0.00051407	0.000150409	0.000138151	9.70947e-05
63	0	0	0	0	0	0	0	0	0	0
64	0	0	0	0	0	0	0	0	0	0
65	0	0	0.000372283	0	0	0	0	0	0.00244447	0.000870461
66	0	0	0	0	0	0	0	0	0	0
67	0	0	0	0	0	0	0	0	0	0.000721467
68	0	0	0	0	0	0	0	0	0	0
69	0	0	0	0	0	0	0	0	3.43612e-05	3.38095e-05
70	0	0	0	0	0	0	0	0	0	0
72	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0
76	0	0	0	0	0	0	0	0	0	0
77	0	0	0	0	0	0	0	0	0	0
79	0	0	0	0	0	0	0	0	0	0
80	0	0	0	0	0	0	0	0	0	0
