Feature \ Sample	SRS011061	SRS011134	SRS011239	SRS011271	SRS011302	SRS011405	SRS011452	SRS011529	SRS011586	SRS012273
#N/A|SRS056259_61_41_1339	0	0.0245245	0	0	0	0	0	0.000150836	0	0.000402466
#N/A|SRS042628_17_43_1026	0	0	0	0	0	0	0	0	0	0
#N/A|SRS023914_125_54_931	0	0	0	0	0	0	0	0	0	0
#N/A|U4PMK9	0	0	0	0	0	0	0	0	0	0
#N/A|SRS016018_100_58_440	0	0.00367899	0	0	0	0	0	0	0	0
#N/A|SRS014613_119_56_280	0	0	0	0	0	0	0	0	0	0
#N/A|SRS017521_227_58_556	0	0	0	0	0	0	0	0	0	0
#N/A|SRS015217_139_61_368	0	0	0	0	0.000104778	0	0	4.37351e-05	0	6.77583e-05
#N/A|S3K3Z2	0	0	0	0	0	0	0	0	0	0
#N/A|SRS048870_139_51_1134	0	0	0	0	0	0	0	0	0	0
#N/A|SRS012273_201_35_143	0	0	0.00285197	0	0	0.000765928	0	0	0.000230942	0.0015541
#N/A|SRS020328_231_53_780	0	0	0	0	0	0	0	0	0	0
#N/A|SRS021484_128_40_841	0	0	0	0	9.05975e-05	0	0	0	0	0
#N/A|SRS011586_128_47_134	0	0	0.000413138	0	5.94302e-05	0	0	0	0.00357357	0
#N/A|SRS024075_123_45_962	0	6.83128e-05	0	0	0	0	0	0	0	0
#N/A|A0A0E4BBD9	0	0	0	0	0	0	0	0	0	0
#N/A|SRS017821_53_43_601	0	0	0	0	0	0	0	0	0	0
#N/A|SRS014235_128_40_240	0	0.000122194	0	0	0.000148575	0	0	0	0	3.38095e-05
#N/A|SRS015217_145_36_370	0	0	0	0	0	0	0	0	4.10412e-05	0
#N/A|SRS017521_45_53_554	0	0	0	0	0	0	0	0	0	0
#N/A|SRS011302_125_44_78	0	0	0	0	0.00103194	0	0	0	0	0
#N/A|D3L4B3	0	0	0	0	0	0	0	0	0	0
#N/A|SRS014979_125_44_301	0	0	0.000263769	0	0	0	0	0	0	0
#N/A|SRS017701_119_54_596	0	0	0	0	0	0	0	8.61923e-05	0	0
#N/A|SRS011239_125_59_35	0	0	0.00282981	0	0	0.000236407	0	0	0.000244447	0.00238014
#N/A|SRS014979_119_60_306	0	0	0	0	0	0	0	0	0	0
#N/A|SRS011302_125_55_77	0	0	0	0	0.00255595	0	0	0	0	0
#N/A|SRS078176_1	0	0	0	0	0	0	0	0	0	0
#N/A|SRS064276_125_54_1386	0	0	0	0	0	0	0	0	0	0
#N/A|SRS020233_123_46_746	0	0.000359055	0	0	0	0	0	0	0	0
#N/A|SRS020233_123_46_747	0	0	0	0	0	0	0	0	0	0
