Family	Count	Hits	TotMarkerLength
sp|O87943|BSSA_THAAR	0.0	0	92
sp|Q30W70|CUTC_DESAG	0.0	0	56
tr|A0A010PTS3|A0A010PTS3_FINMA	0.0	0	152
tr|A0A010YDP8|A0A010YDP8_9BACT	0.0	0	237
tr|A0A010ZN87|A0A010ZN87_9BACT	0.0	0	300
tr|A0A010ZUT7|A0A010ZUT7_9ACTN	0.0	0	95
tr|A0A011A1B8|A0A011A1B8_9CLOT	0.0	0	10
tr|A0A011A449|A0A011A449_9CLOT	0.0	0	180
tr|A0A011A8L4|A0A011A8L4_9CLOT	0.0	0	156
tr|A0A011SFC1|A0A011SFC1_9LACT	0.0	0	88
tr|A0A011WRU3|A0A011WRU3_RUMAL	0.0	0	29
tr|A0A014M200|A0A014M200_9GAMM	0.0	0	198
tr|A0A014M529|A0A014M529_9GAMM	0.0	0	248
tr|A0A014M5S7|A0A014M5S7_9GAMM	0.0	0	297
tr|A0A015QHV0|A0A015QHV0_BACFG	0.23826634549726178	34	228
tr|A0A017RXQ7|A0A017RXQ7_9CLOT	0.0	0	82
tr|A0A022KWG6|A0A022KWG6_9MICO	0.0	0	17
tr|A0A022N9Q8|A0A022N9Q8_ENTMU	0.0	0	78
tr|A0A024F9U9|A0A024F9U9_LEPBY	0.0	0	77
tr|A0A029JE90|A0A029JE90_ECOLX	0.0	0	47
tr|A0A031I385|A0A031I385_9BURK	0.0	0	300
tr|A0A031WCL4|A0A031WCL4_CLODI	0.0	0	294
tr|A0A034T1M9|A0A034T1M9_9GAMM	0.0	0	34
tr|A0A034T1P8|A0A034T1P8_9GAMM	0.0	0	92
tr|A0A037UYE2|A0A037UYE2_9RHIZ	0.0	0	300
tr|A0A037Z185|A0A037Z185_CLOTT	0.0	0	149
tr|A0A037ZAM3|A0A037ZAM3_CLOTT	0.0	0	83
tr|A0A060GI59|A0A060GI59_9BACT	0.0	0	300
tr|A0A060GI62|A0A060GI62_9BACT	0.0	0	300
tr|A0A060GLE0|A0A060GLE0_9BACT	0.0	0	300
tr|A0A060GM47|A0A060GM47_9BACT	0.0	0	105
tr|A0A060GM51|A0A060GM51_9BACT	0.0	0	66
tr|A0A060GSE2|A0A060GSE2_9BACT	0.0	0	300
tr|A0A060GSE4|A0A060GSE4_9BACT	0.0	0	131
tr|A0A060GTJ5|A0A060GTJ5_9BACT	0.0	0	212
tr|A0A061ACC9|A0A061ACC9_9MOLU	0.0	23	82
tr|A0A061RIN7|A0A061RIN7_9CHLO	0.0	0	285
tr|A0A068NI47|A0A068NI47_9ACTO	0.0	0	294
tr|A0A069ACR4|A0A069ACR4_CLODI	0.0	0	195
tr|A0A069EZD2|A0A069EZD2_9BACL	0.0	0	51
tr|A0A069QM06|A0A069QM06_PRELO	0.0	0	9
tr|A0A069RFE1|A0A069RFE1_CLOLI	0.0	0	300
tr|A0A069RIN1|A0A069RIN1_CLOLI	0.0	0	180
tr|A0A069RJY7|A0A069RJY7_CLOLI	0.0	0	74
tr|A0A069SBN3|A0A069SBN3_9PORP	12.717466190916348	659	209
tr|A0A069SFG2|A0A069SFG2_9PORP	19.905203714378516	370	19
tr|A0A072WX62|A0A072WX62_CLOBO	0.0	0	193
tr|A0A072X1U1|A0A072X1U1_CLOBO	0.0	0	103
tr|A0A072XD82|A0A072XD82_CLOBO	0.0	0	122
tr|A0A072YP78|A0A072YP78_9CLOT	0.0	0	144
tr|A0A073CP96|A0A073CP96_CLOBO	0.0	0	28
tr|A0A073D0Q9|A0A073D0Q9_CLOBO	0.0	0	136
tr|A0A073IRC8|A0A073IRC8_9BACT	0.0	0	242
tr|A0A073ITI3|A0A073ITI3_9BACT	0.0	0	144
tr|A0A073J0W2|A0A073J0W2_9BACT	0.0	0	300
tr|A0A073J2H3|A0A073J2H3_9BACT	0.0	0	300
tr|A0A073J5B8|A0A073J5B8_9BACT	0.0	0	300
tr|A0A073KNC0|A0A073KNC0_9GAMM	0.11371802853278401	1	11
tr|A0A074Q2J1|A0A074Q2J1_9MICO	0.0	0	56
tr|A0A075K6Y6|A0A075K6Y6_9FIRM	0.0	0	105
tr|A0A075K8M4|A0A075K8M4_9FIRM	0.0	0	48
tr|A0A075KHH8|A0A075KHH8_9FIRM	0.0	0	300
tr|A0A075R2D7|A0A075R2D7_BRELA	0.0	0	64
tr|A0A075SNW0|A0A075SNW0_STRSU	0.0	0	106
tr|A0A076IN03|A0A076IN03_9BACE	55.66497496679778	745	60
tr|A0A077HKD8|A0A077HKD8_9CORY	0.0	0	25
tr|A0A077J6B2|A0A077J6B2_9BACI	0.6775699200078382	13	18
tr|A0A077ZBR6|A0A077ZBR6_TRITR	0.0	1	44
tr|A0A077ZJ88|A0A077ZJ88_TRITR	0.0	0	8
tr|A0A080K2C4|A0A080K2C4_9NEIS	0.0	0	154
tr|A0A080KEY8|A0A080KEY8_9GAMM	0.0	0	185
tr|A0A080N274|A0A080N274_9BIFI	0.21754753284532594	8	42
tr|A0A081BV09|A0A081BV09_9BACT	0.0	0	300
tr|A0A081C2Q1|A0A081C2Q1_9BACT	0.0	0	206
tr|A0A081CAF0|A0A081CAF0_9BACT	0.0	0	300
tr|A0A081EBI6|A0A081EBI6_STRFR	0.0	0	43
tr|A0A081KAJ5|A0A081KAJ5_9GAMM	0.0	0	31
tr|A0A081P4W8|A0A081P4W8_9BACL	0.0	0	17
tr|A0A083ZZW7|A0A083ZZW7_9GAMM	0.0	0	117
tr|A0A084AER5|A0A084AER5_LACLC	0.0	0	125
tr|A0A084J7D0|A0A084J7D0_9CLOT	0.0	0	11
tr|A0A084JDI2|A0A084JDI2_9CLOT	0.0	0	113
tr|A0A084ST45|A0A084ST45_9DELT	0.0	0	300
tr|A0A084T2T3|A0A084T2T3_9VIBR	0.0	0	29
tr|A0A084T9J5|A0A084T9J5_9VIBR	0.0	0	171
tr|A0A085EEH8|A0A085EEH8_9FLAO	0.0	0	158
tr|A0A085FZE4|A0A085FZE4_9ENTR	0.3127245784651561	3	9
tr|A0A085GA67|A0A085GA67_9GAMM	0.0	0	58
tr|A0A085H1X9|A0A085H1X9_HAFAL	0.0	0	92
tr|A0A085U3B1|A0A085U3B1_YERRU	0.0	0	30
tr|A0A086E2U6|A0A086E2U6_9MICO	0.0	0	123
tr|A0A086GE88|A0A086GE88_9GAMM	0.0	1	42
tr|A0A087B617|A0A087B617_9BIFI	0.0	0	65
tr|A0A087E582|A0A087E582_9BIFI	0.0	0	300
tr|A0A088Y1D3|A0A088Y1D3_9BURK	0.0	0	61
tr|A0A089HRK6|A0A089HRK6_PAEDU	0.0	0	230
tr|A0A089HTJ8|A0A089HTJ8_PAEDU	0.0	0	33
tr|A0A089LJ13|A0A089LJ13_9BACL	0.0	0	300
tr|A0A089M1Z8|A0A089M1Z8_9BACL	0.0	0	20
tr|A0A089QFK9|A0A089QFK9_9LACO	0.0	0	70
tr|A0A089UER2|A0A089UER2_9ENTR	0.0	2	49
tr|A0A090IH61|A0A090IH61_9GAMM	0.0	0	39
tr|A0A090KPR6|A0A090KPR6_9BACI	0.0	0	11
tr|A0A090N4R7|A0A090N4R7_OSTTA	0.0	0	250
tr|A0A090QMW2|A0A090QMW2_9GAMM	0.0	1	59
tr|A0A090ZI26|A0A090ZI26_PAEMA	0.0	0	300
tr|A0A091C2A9|A0A091C2A9_9ENTE	0.0	2	59
tr|A0A091C839|A0A091C839_9ENTE	0.0	0	119
tr|A0A094K1W7|A0A094K1W7_9DELT	0.0	0	223
tr|A0A094WIS2|A0A094WIS2_BACAO	0.0	0	106
tr|A0A095WLE4|A0A095WLE4_9FUSO	0.0	0	38
tr|A0A095YU54|A0A095YU54_9FIRM	0.0	0	142
tr|A0A095ZAM0|A0A095ZAM0_9ACTO	0.0	0	42
tr|A0A096B4W6|A0A096B4W6_9FIRM	0.0	0	300
tr|A0A096BHK0|A0A096BHK0_9CLOT	0.0	0	300
tr|A0A096CRP0|A0A096CRP0_9FIRM	0.0	0	32
tr|A0A096ZNX3|A0A096ZNX3_9RHOO	0.0	0	214
tr|A0A097STA6|A0A097STA6_9MOLU	0.0	0	202
tr|A0A098AWB8|A0A098AWB8_DESHA	0.0	0	142
tr|A0A098BX50|A0A098BX50_9PORP	0.0	0	58
tr|A0A098F009|A0A098F009_9BACI	0.0	0	33
tr|A0A098M885|A0A098M885_9BACL	0.0	0	300
tr|A0A098QYS8|A0A098QYS8_9SPIO	0.0	0	108
tr|A0A098R2N0|A0A098R2N0_9LACO	0.0	0	38
tr|A0A099HT96|A0A099HT96_9CLOT	0.0	1	62
tr|A0A099HW85|A0A099HW85_9CLOT	0.0	0	11
tr|A0A099I0L1|A0A099I0L1_CLOIN	0.0	2	118
tr|A0A099I2W8|A0A099I2W8_CLOIN	0.0	0	113
tr|A0A099I4I6|A0A099I4I6_CLOIN	0.0	0	68
tr|A0A099I4L9|A0A099I4L9_CLOIN	0.0	0	87
tr|A0A099S3M3|A0A099S3M3_9CLOT	0.0	0	135
tr|A0A099SC67|A0A099SC67_9FIRM	0.0	0	63
tr|A0A099SCP1|A0A099SCP1_9CLOT	0.0	0	90
tr|A0A099WS45|A0A099WS45_9PORP	0.0	0	94
tr|A0A099XSF3|A0A099XSF3_9FLAO	0.0	146	28
tr|A0A0A0BBL5|A0A0A0BBL5_9CELL	0.0	0	56
tr|A0A0A0C2A3|A0A0A0C2A3_9CELL	0.0	17	36
tr|A0A0A0C9B1|A0A0A0C9B1_9CELL	0.0	0	17
tr|A0A0A0DVC5|A0A0A0DVC5_9SPIO	0.0	0	297
tr|A0A0A0DZT3|A0A0A0DZT3_9SPIO	0.0	0	275
tr|A0A0A0IHA2|A0A0A0IHA2_CLOBO	0.0	0	300
tr|A0A0A1F6X1|A0A0A1F6X1_9BURK	0.0	0	245
tr|A0A0A1MKQ1|A0A0A1MKQ1_9BACI	0.0	0	63
tr|A0A0A2DUQ6|A0A0A2DUQ6_9PORP	0.0	0	101
tr|A0A0A2E3U5|A0A0A2E3U5_9PORP	0.0	0	57
tr|A0A0A2G7C0|A0A0A2G7C0_9PORP	0.0	0	63
tr|A0A0A2HZ06|A0A0A2HZ06_9DELT	0.0	0	193
tr|A0A0A2TBY1|A0A0A2TBY1_9BACI	0.0	0	126
tr|A0A0A2VE03|A0A0A2VE03_9BACI	0.0	0	54
tr|A0A0A2VZ23|A0A0A2VZ23_BEABA	0.0	2	254
tr|A0A0A2VZ96|A0A0A2VZ96_BEABA	0.0	1	74
tr|A0A0A2VZB7|A0A0A2VZB7_BEABA	0.0	0	16
tr|A0A0A3AQL5|A0A0A3AQL5_9PAST	0.0	0	268
tr|A0A0A3FM33|A0A0A3FM33_9VIBR	0.0	0	27
tr|A0A0A5G1S1|A0A0A5G1S1_9BACI	0.0	0	133
tr|A0A0A6S4M4|A0A0A6S4M4_STRUB	0.0	0	45
tr|A0A0A6URB2|A0A0A6URB2_ACTUT	0.0	0	68
tr|A0A0A7FYZ2|A0A0A7FYZ2_9CLOT	0.0	0	60
tr|A0A0A8FLK3|A0A0A8FLK3_9ACTO	0.0	0	32
tr|A0A0A8X7D1|A0A0A8X7D1_9BACI	0.0	0	33
tr|A0A0B0IGE5|A0A0B0IGE5_9BACI	0.0	0	24
tr|A0A0B1U0W5|A0A0B1U0W5_9DELT	0.0	0	299
tr|A0A0B3VJV1|A0A0B3VJV1_9FIRM	0.0	0	56
tr|A0A0B3VKK8|A0A0B3VKK8_9FIRM	0.0	0	108
tr|A0A0B4IQ12|A0A0B4IQ12_VIBHA	0.0	0	40
tr|A0A0B5Q9W0|A0A0B5Q9W0_CLOBE	0.0	0	41
tr|A0A0B5QJY1|A0A0B5QJY1_CLOBE	0.0	0	76
tr|A0A0B5QSQ0|A0A0B5QSQ0_CLOBE	0.0	0	60
tr|A0A0B5WVN2|A0A0B5WVN2_BACCO	0.0	0	9
tr|A0A0B6TTF5|A0A0B6TTF5_9CORY	0.0	0	23
tr|A0A0B7I7V9|A0A0B7I7V9_9FLAO	0.0	0	94
tr|A0A0B7MK61|A0A0B7MK61_9FIRM	0.0	0	221
tr|A0A0B8NA06|A0A0B8NA06_9NOCA	0.0	0	58
tr|A0A0B8NK97|A0A0B8NK97_9VIBR	0.0	0	155
tr|A0A0B8PY23|A0A0B8PY23_9VIBR	0.0	0	91
tr|A0A0B8R2R8|A0A0B8R2R8_LISMN	0.0	0	300
tr|A0A0B8RI88|A0A0B8RI88_LISMN	0.0	0	32
tr|A0A0B9GHX9|A0A0B9GHX9_9GAMM	0.0	0	300
tr|A0A0C1D9R8|A0A0C1D9R8_9SPHI	0.0	0	300
tr|A0A0C1EZH7|A0A0C1EZH7_9NEIS	0.0	0	42
tr|A0A0C1NH32|A0A0C1NH32_9CYAN	0.0	0	36
tr|A0A0C1TWQ5|A0A0C1TWQ5_9CLOT	0.0	0	175
tr|A0A0C1UJD6|A0A0C1UJD6_9CLOT	0.0	0	36
tr|A0A0C1W6Y5|A0A0C1W6Y5_9CYAN	0.0	0	34
tr|A0A0C1X9W9|A0A0C1X9W9_9ACTN	0.0	0	55
tr|A0A0C1Z8P6|A0A0C1Z8P6_9DELT	0.0	0	296
tr|A0A0C2A1B3|A0A0C2A1B3_9DELT	0.0	0	300
tr|A0A0C2HCA4|A0A0C2HCA4_9STAP	0.0	0	10
tr|A0A0C2R3M9|A0A0C2R3M9_9BACL	0.0	0	67
tr|A0A0C2VC81|A0A0C2VC81_9BACL	0.0	0	67
tr|A0A0C5VRS3|A0A0C5VRS3_9GAMM	0.0	0	131
tr|A0A0C7NCU8|A0A0C7NCU8_9THEO	0.0	0	300
tr|A0A0D0NSZ3|A0A0D0NSZ3_KITGR	0.0	0	27
tr|A0A0D0QMF7|A0A0D0QMF7_9FIRM	0.0	0	45
tr|A0A0D2LHP7|A0A0D2LHP7_9CHLO	0.0	0	162
tr|A0A0D2NN58|A0A0D2NN58_9CHLO	0.0	0	300
tr|A0A0D3L9D0|A0A0D3L9D0_9BACT	0.0	0	162
tr|A0A0D5LS34|A0A0D5LS34_9RHIZ	0.0	6	51
tr|A0A0D5N2J4|A0A0D5N2J4_GEOSN	0.0	0	208
tr|A0A0D5NJF2|A0A0D5NJF2_9BACL	0.0	0	82
tr|A0A0D6ACK3|A0A0D6ACK3_9CHRO	0.0	0	33
tr|A0A0D6AXU7|A0A0D6AXU7_RHOSU	0.0	0	164
tr|A0A0D6DYT6|A0A0D6DYT6_9LACT	0.0	0	127
