"SUID","ACC","CAZY","CLASS","Cluster Size","Description","Domain","EC","EFI_ID","FAMILY","GDNA","GENUS","GI","GN","GO","HMP_Body_Site","HMP_Oxygen","IPRO","name","ORDER","Organism","PDB","PFAM","PHYLUM","selected","Sequence_Length","shared name","SPECIES","STATUS","Swissprot_Description","Taxonomy_ID","Uniprot_ID"
"1175326","A0A0S8FNY7","None","NA","1","Uncharacterized protein ","Bacteria","None","NA","NA","False","NA","931480758:0","AMK73_07650","0003824 catalytic activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom","A0A0S8FNY7","NA","Planctomycetes bacterium SM23_32.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","506","A0A0S8FNY7","NA","Unreviewed","NA","1704029","A0A0S8FNY7_9BAC"
"1175327","A0A0R1KG18","None","Bacilli","1","Formate C-acetyltransferase ","Bacteria","None","NA","Lactobacillaceae","False","Lactobacillus","948648136:0","FC16_GL002559","0016740 transferase activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","A0A0R1KG18","Lactobacillales","Lactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535.","None","PF01228 Gly_radical|PF02901 PFL","Firmicutes","false","516","A0A0R1KG18","Lactobacillus coryniformis","Unreviewed","NA","1423822","A0A0R1KG18_9LAC"
"1175328","X1KDW8","None","NA","1","Uncharacterized protein ","unclassified sequences","None","NA","NA","False","NA","None","S06H3_11991","0003824 catalytic activity","None","None","IPR004184 PFL_dom","X1KDW8","NA","marine sediment metagenome.","None","PF02901 PFL","NA","false","518","X1KDW8","NA","Unreviewed","NA","412755","X1KDW8_9ZZZZ"
"1175329","A0A0K8JBP0","None","Negativicutes","1","Uncharacterized protein ","Bacteria","None","NA","Sporomusaceae","False","Propionispora","930607080:0","P22_1136","0003824 catalytic activity","None","None","IPR004184 PFL_dom","A0A0K8JBP0","Selenomonadales","Propionispora sp. Iso2/2.","None","PF02901 PFL","Firmicutes","false","523","A0A0K8JBP0","Propionispora sp. Iso2/2","Unreviewed","NA","1677858","A0A0K8JBP0_9FIR"
"1175330","A0A177QPG5","None","NA","1","Formate acetyltransferase ","Bacteria","None","NA","NA","False","NA","1028418326:0","AYO44_06830","None","None","None","None","A0A177QPG5","NA","Planctomycetaceae bacterium SCGC AG-212-F19.","None","None","NA","false","524","A0A177QPG5","NA","Unreviewed","NA","1799658","A0A177QPG5_9PLA"
"1175331","A0A0F9LFR1","None","NA","1","Uncharacterized protein ","unclassified sequences","None","NA","NA","False","NA","None","LCGC14_1219560","0003824 catalytic activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom","A0A0F9LFR1","NA","marine sediment metagenome.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","525","A0A0F9LFR1","NA","Unreviewed","NA","412755","A0A0F9LFR1_9ZZZ"
"1175332","G9YFM2","None","Negativicutes","1","Glycine radical domain protein ","Bacteria","None","NA","Veillonellaceae","False","Anaeroglobus","364565304:0","HMPREF0080_00434","0003824 catalytic activity","Oral","Anaerobe","IPR001150 Gly_radical|IPR004184 PFL_dom","G9YFM2","Veillonellales","Anaeroglobus geminatus F0357.","None","PF01228 Gly_radical|PF02901 PFL","Firmicutes","false","528","G9YFM2","Anaeroglobus geminatus","Unreviewed","NA","861450","G9YFM2_9FIRM"
"1175333","A0A090RXX4","None","NA","1","Pyruvate formate-lyase ","Bacteria","2.3.1.54 {ECO:0000313|EMBL:GAL19079.1}","NA","NA","False","NA","None","JCM19235_2502","0008861 formate C-acetyltransferase activity|0016829 lyase activity","None","None","IPR010098 PFL2|IPR004184 PFL_dom","A0A090RXX4","NA","Vibrio maritimus.","None","PF02901 PFL","NA","false","532","A0A090RXX4","NA","Unreviewed","NA","990268","A0A090RXX4_9VIB"
"1175324","A0A0S8J037","None","NA","1","Formate acetyltransferase ","Bacteria.","None","NA","NA","False","NA","931525905:0","AMJ73_07675","0016740 transferase activity","None","None","IPR004184 PFL_dom","A0A0S8J037","NA","candidate division Zixibacteria bacterium SM1_73.","None","PF02901 PFL","NA","false","495","A0A0S8J037","NA","Unreviewed","NA","1703424","A0A0S8J037_9BAC"
"1175325","A0A0F9SB91|A0A0F9H6E1","None","NA","2","Uncharacterized protein ","unclassified sequences","None","NA","NA","False","NA","None","LCGC14_0540850|LCGC14_1742040","0003824 catalytic activity","None","None","IPR001150 Gly_radical|IPR004184 PFL_dom","A0A0F9SB91","NA","marine sediment metagenome.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","497","A0A0F9SB91","NA","Unreviewed","NA","412755","A0A0F9SB91_9ZZZ|A0A0F9H6E1_9ZZZ"
"1175342","R5SH12","None","NA","1","Formate acetyltransferase ","Bacteria","None","NA","NA","False","NA","None","BN771_01553","0016740 transferase activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","R5SH12","NA","Clostridium sp. CAG:75.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","544","R5SH12","NA","Unreviewed","NA","1262836","R5SH12_9CLOT"
"1175343","R6H1L9|R7EK38","None","NA","2","Uncharacterized protein ","Bacteria","None","NA","NA","False","NA","None","BN690_01542|BN671_01180","0003824 catalytic activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","R6H1L9","NA","Blautia sp. CAG:52.|Roseburia sp. CAG:471.","None","PF01228 Gly_radical|PF02901 PFL","NA","false","552","R6H1L9","NA","Unreviewed","NA","1262758|1262948","R6H1L9_9FIRM|R7EK38_9FIRM"
"1175344","A0A0F5KSU0","None","Bacilli","1","Formate acetyltransferase ","Bacteria","None","NA","Bacillaceae","False","Bacillus","805640920:0","TH62_13925","0016740 transferase activity","None","None","IPR019777 Form_AcTrfase_GR_CS|IPR001150 Gly_radical|IPR004184 PFL_dom","A0A0F5KSU0","Bacillales","Bacillus sp. TH008.","None","PF01228 Gly_radical|PF02901 PFL","Firmicutes","false","553","A0A0F5KSU0","Bacillus sp. TH008","Unreviewed","NA","1609979","A0A0F5KSU0_9BAC"
"1175345","A0A139DAJ2","None","NA","1","Formate C-acetyltransferase ","Bacteria","None","NA","NA","False","NA","1001930773:0","AWL62_314","0016740 transferase activity","None","None","IPR004184 PFL_dom","A0A139DAJ2","NA","Halanaerobium sp. T82-1.","None","PF02901 PFL","NA","false","557","A0A139DAJ2","NA","Unreviewed","NA","1794808","A0A139DAJ2_9FIR"
